date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2019-12-31,CTB_ONLY,1.249274607903795e-06,0.004729604256683614,0.0005247969861632712,1.2492365909369372e-06,0.0,0.004729604256683614,3.8016966857571113e-11
2019-12-31,RB_CTB_BAND,2.761696614661446e-05,1.1880007597723984e-05,1.4525464599795778e-05,1.2114939490946993e-06,0.0,1.1880007597723984e-05,0.012082457928195215
2020-01-31,ERC,1.212372570375111e-06,4.457823972186435e-13,2.7254709478450412e-05,1.2123721245927138e-06,0.0,4.457823972186435e-13,0.0105126299859477
2020-01-31,CTB_ONLY,1.239328106059206e-06,0.004254270649971331,0.00046822973678886036,1.2392885322174455e-06,0.0,0.004254270649971331,3.9573841760484374e-11
2020-01-31,RB_CTB_BAND,8.024661120270704e-06,3.5340138125640503e-06,3.278006428846563e-06,1.2126408788600894e-06,0.0,3.5340138125640503e-06,0.011001843987473912
2020-02-28,ERC,1.2120975030100178e-06,4.523518696419718e-13,2.7529997272346884e-05,1.212097050658148e-06,0.0,4.523518696419718e-13,0.01058555630185013
2020-02-28,CTB_ONLY,1.653098167549371e-05,0.004435488124872286,0.00012394112839310872,1.2440092742732387e-06,0.0,0.004435488124872286,1.5286972401220474e-05
2020-02-28,RB_CTB_BAND,6.797649355244928e-06,3.490717175550614e-06,2.094255803675363e-06,1.2126763760189518e-06,0.0,3.490717175550614e-06,0.01051748610203857
2020-03-31,ERC,1.2109431239186764e-06,4.603164736098795e-13,9.690738436397103e-06,1.210942663602203e-06,0.0,4.603164736098795e-13,0.010399206539525321
2020-03-31,CTB_ONLY,1.236916816741334e-06,0.004723244108474446,0.0006135265725491908,1.2368714638296413e-06,0.0,0.004723244108474446,4.535291169276864e-11
2020-03-31,RB_CTB_BAND,5.613909169681813e-06,2.217044128432773e-06,2.1849683149280706e-06,1.2118967263209693e-06,0.0,2.217044128432773e-06,0.01043404924248548
2020-04-30,ERC,1.2077735445759996e-06,4.4412752222276425e-13,3.992576910239461e-06,1.2077731004484774e-06,0.0,4.4412752222276425e-13,0.010400665217998055
2020-04-30,CTB_ONLY,6.711636094595756e-06,0.004683848907777441,3.815100089100416e-05,1.2308681837661536e-06,0.0,0.004683848907777441,5.480767910829602e-06
2020-04-30,RB_CTB_BAND,5.983081230059655e-06,2.0309882336116964e-06,2.7426780531086755e-06,1.2094149433392836e-06,0.0,2.0309882336116964e-06,0.010097236832083344
2020-05-29,ERC,1.2085702288658654e-06,4.4190876110023327e-13,1.0938331173823471e-05,1.2085697869571043e-06,0.0,4.4190876110023327e-13,0.010773654119135972
